id,image_path,label
186,dataset_final/train\BJ604SB.jpg,BJ604SB
187,dataset_final/train\BJ814JR.jpg,BJ814JR
188,dataset_final/train\BK308GQ.jpg,BK308GQ
189,dataset_final/train\BK678YW.jpg,BK678YW
190,dataset_final/train\BL001AA.png,BL001AA
191,dataset_final/train\BL315PX.png,BL315PX
192,dataset_final/train\BL33635_1.png,BL33635_1
193,dataset_final/train\BL374RT.png,BL374RT
194,dataset_final/train\BL585KE.jpg,BL585KE
195,dataset_final/train\BLAM414.png,BLAM414
196,dataset_final/train\BLC971.png,BLC971
197,dataset_final/train\BM040RK.jpg,BM040RK
198,dataset_final/train\BM563AP.png,BM563AP
199,dataset_final/train\BMJ9855.png,BMJ9855
200,dataset_final/train\BMW6220.png,BMW6220
201,dataset_final/train\BN15858.png,BN15858
202,dataset_final/train\BN840DD.png,BN840DD
203,dataset_final/train\BP310AH.png,BP310AH
204,dataset_final/train\BP78222.png,BP78222
205,dataset_final/train\BP897ER.jpg,BP897ER
206,dataset_final/train\BQ360YQ.jpg,BQ360YQ
207,dataset_final/train\BQ670QB.png,BQ670QB
208,dataset_final/train\BQ708GP.png,BQ708GP
209,dataset_final/train\BR07AAC.png,BR07AAC
210,dataset_final/train\BR07AAC_1.png,BR07AAC_1
211,dataset_final/train\BR16MOC.png,BR16MOC
212,dataset_final/train\BR16MOC_1.png,BR16MOC_1
213,dataset_final/train\BRL702.png,BRL702
214,dataset_final/train\BS398KW.jpg,BS398KW
215,dataset_final/train\BS45640.png,BS45640
216,dataset_final/train\BS45640_1.png,BS45640_1
217,dataset_final/train\BS897PN.png,BS897PN
218,dataset_final/train\BT091WZ.jpg,BT091WZ
219,dataset_final/train\BT254HA.jpg,BT254HA
220,dataset_final/train\BTF857H.png,BTF857H
221,dataset_final/train\BV547PG.png,BV547PG
222,dataset_final/train\BW091AS.png,BW091AS
223,dataset_final/train\BW2172.png,BW2172
224,dataset_final/train\BW716WH.jpg,BW716WH
225,dataset_final/train\BXSV91.png,BXSV91
226,dataset_final/train\BY187RT.jpg,BY187RT
227,dataset_final/train\C04279Y.png,C04279Y
228,dataset_final/train\CA188VG.jpg,CA188VG
229,dataset_final/train\CA213ZN.jpg,CA213ZN
230,dataset_final/train\CA6183BS.png,CA6183BS
231,dataset_final/train\CC221PK.jpg,CC221PK
232,dataset_final/train\CE683HR.png,CE683HR
233,dataset_final/train\CE7373AE.png,CE7373AE
234,dataset_final/train\CE7569AT.png,CE7569AT
235,dataset_final/train\CE8670AX.png,CE8670AX
236,dataset_final/train\CEH422S.png,CEH422S
237,dataset_final/train\CF058NS.jpg,CF058NS
238,dataset_final/train\CG673BQ.jpg,CG673BQ
239,dataset_final/train\CG988FL.jpg,CG988FL
240,dataset_final/train\CH366BX.jpg,CH366BX
241,dataset_final/train\CH516BB.jpg,CH516BB
242,dataset_final/train\CJ183LS.png,CJ183LS
243,dataset_final/train\CJ300YS.jpg,CJ300YS
244,dataset_final/train\CJ447RV.jpg,CJ447RV
245,dataset_final/train\CJ711YG.jpg,CJ711YG
246,dataset_final/train\CK1007.png,CK1007
247,dataset_final/train\CK7A1DT.png,CK7A1DT
248,dataset_final/train\CK80068.png,CK80068
249,dataset_final/train\CM229MN.png,CM229MN
250,dataset_final/train\CM229MN_1.png,CM229MN_1
251,dataset_final/train\CM855DY.png,CM855DY
252,dataset_final/train\CN976MT.jpg,CN976MT
253,dataset_final/train\CQ159PK.jpg,CQ159PK
254,dataset_final/train\CQ378MH.jpg,CQ378MH
255,dataset_final/train\CQ699FC.jpg,CQ699FC
256,dataset_final/train\CR214ZQ.jpg,CR214ZQ
257,dataset_final/train\CRX110.png,CRX110
258,dataset_final/train\CS903QC.jpg,CS903QC
259,dataset_final/train\CT038ZN.png,CT038ZN
260,dataset_final/train\CT401KB.jpg,CT401KB
261,dataset_final/train\CT879GW.png,CT879GW
262,dataset_final/train\CV594AF.png,CV594AF
263,dataset_final/train\CX347FC.png,CX347FC
264,dataset_final/train\CX471YT.jpg,CX471YT
265,dataset_final/train\CY381NR.png,CY381NR
266,dataset_final/train\CY381NR_1.png,CY381NR_1
267,dataset_final/train\CZ743ZY.png,CZ743ZY
268,dataset_final/train\D042652.png,D042652
269,dataset_final/train\DA424BH.png,DA424BH
270,dataset_final/train\DB18SCF.png,DB18SCF
271,dataset_final/train\DB48SCF.png,DB48SCF
272,dataset_final/train\DB749GD.jpg,DB749GD
273,dataset_final/train\DB999EM.jpg,DB999EM
274,dataset_final/train\DC165MK.jpg,DC165MK
275,dataset_final/train\DD178TV.jpg,DD178TV
276,dataset_final/train\DD256CG.jpg,DD256CG
277,dataset_final/train\DD454YP.jpg,DD454YP
278,dataset_final/train\DE446EP.jpg,DE446EP
279,dataset_final/train\DH058PS.jpg,DH058PS
280,dataset_final/train\DJ097DJ.png,DJ097DJ
281,dataset_final/train\DJ115AO.png,DJ115AO
282,dataset_final/train\DK436ET.jpg,DK436ET
283,dataset_final/train\DK752QM.jpg,DK752QM
284,dataset_final/train\DL076WT.jpg,DL076WT
285,dataset_final/train\DM025MP.jpg,DM025MP
286,dataset_final/train\DN419NG.jpg,DN419NG
287,dataset_final/train\DOHAPE1.png,DOHAPE1
288,dataset_final/train\DP92OCN.png,DP92OCN
289,dataset_final/train\DP933CD.jpg,DP933CD
290,dataset_final/train\DQ040VP.jpg,DQ040VP
291,dataset_final/train\DQ200PB.png,DQ200PB
292,dataset_final/train\DQ200PB_1.png,DQ200PB_1
293,dataset_final/train\DQ824BE.png,DQ824BE
294,dataset_final/train\DR337TM.png,DR337TM
295,dataset_final/train\DS051CD.png,DS051CD
296,dataset_final/train\DS641PQ.png,DS641PQ
297,dataset_final/train\DT0505.png,DT0505
298,dataset_final/train\DT548KY.png,DT548KY
299,dataset_final/train\DUS170.png,DUS170
300,dataset_final/train\DW664GT.jpg,DW664GT
301,dataset_final/train\DY323ZC.jpg,DY323ZC
302,dataset_final/train\DY378ZH.jpg,DY378ZH
303,dataset_final/train\DY769ZV.jpg,DY769ZV
304,dataset_final/train\E52CNW.png,E52CNW
305,dataset_final/train\E59J262.png,E59J262
306,dataset_final/train\EA698EC.jpg,EA698EC
307,dataset_final/train\EC010PW.jpg,EC010PW
308,dataset_final/train\EC377VM.jpg,EC377VM
309,dataset_final/train\EC431DC.jpg,EC431DC
310,dataset_final/train\EE972DY.jpg,EE972DY
311,dataset_final/train\EJ494BR.png,EJ494BR
312,dataset_final/train\EK034FF.jpg,EK034FF
313,dataset_final/train\EL156RR.jpg,EL156RR
314,dataset_final/train\EL493LK.jpg,EL493LK
315,dataset_final/train\EL540EV.jpg,EL540EV
316,dataset_final/train\EL902WL.jpg,EL902WL
317,dataset_final/train\EM279BL.jpg,EM279BL
318,dataset_final/train\EM997GY.jpg,EM997GY
319,dataset_final/train\EN009NR.jpg,EN009NR
320,dataset_final/train\EP396QP.jpg,EP396QP
321,dataset_final/train\ER803WH.jpg,ER803WH
322,dataset_final/train\ER888FS.jpg,ER888FS
323,dataset_final/train\ES344.png,ES344
324,dataset_final/train\ES465EA.jpg,ES465EA
325,dataset_final/train\ESCM1106.png,ESCM1106
326,dataset_final/train\ESS1535.png,ESS1535
327,dataset_final/train\ESTG27.png,ESTG27
328,dataset_final/train\ESXI8932.png,ESXI8932
329,dataset_final/train\EV070QS.jpg,EV070QS
330,dataset_final/train\EV326XY.jpg,EV326XY
331,dataset_final/train\EVF960.png,EVF960
332,dataset_final/train\EY728WJ.jpg,EY728WJ
333,dataset_final/train\EYA4798.png,EYA4798
334,dataset_final/train\EYA4798_1.png,EYA4798_1
335,dataset_final/train\EZ393CA.jpg,EZ393CA
336,dataset_final/train\EZ853XD.jpg,EZ853XD
337,dataset_final/train\EZ931ZH.jpg,EZ931ZH
338,dataset_final/train\FA485KS.jpg,FA485KS
339,dataset_final/train\FB487GN.jpg,FB487GN
340,dataset_final/train\FB670AV.png,FB670AV
341,dataset_final/train\FB761SN.jpg,FB761SN
342,dataset_final/train\FC074ZF.jpg,FC074ZF
343,dataset_final/train\FC337JE.jpg,FC337JE
344,dataset_final/train\FC768JZ.jpg,FC768JZ
345,dataset_final/train\FCK469.png,FCK469
346,dataset_final/train\FD347FH.jpg,FD347FH
347,dataset_final/train\FE615XW.jpg,FE615XW
348,dataset_final/train\FF252ND.jpg,FF252ND
349,dataset_final/train\FF486XA.jpg,FF486XA
350,dataset_final/train\FG047WG.jpg,FG047WG
351,dataset_final/train\FG393BF.jpg,FG393BF
352,dataset_final/train\FH746CT.jpg,FH746CT
353,dataset_final/train\FH785HT.jpg,FH785HT
354,dataset_final/train\FH921SN.jpg,FH921SN
355,dataset_final/train\FK682NW.jpg,FK682NW
356,dataset_final/train\FL527JN.jpg,FL527JN
357,dataset_final/train\FL900VP.jpg,FL900VP
358,dataset_final/train\FM264CL.jpg,FM264CL
359,dataset_final/train\FM335RQ.jpg,FM335RQ
360,dataset_final/train\FM971LJ.jpg,FM971LJ
361,dataset_final/train\FN536TH.jpg,FN536TH
362,dataset_final/train\FN979XC.jpg,FN979XC
363,dataset_final/train\FOW653.png,FOW653
364,dataset_final/train\FP055HQ.jpg,FP055HQ
365,dataset_final/train\FP190SM.jpg,FP190SM
366,dataset_final/train\FP193RQ.jpg,FP193RQ
367,dataset_final/train\FP494ML.jpg,FP494ML
368,dataset_final/train\FP773DS.jpg,FP773DS
369,dataset_final/train\FP999JB.jpg,FP999JB
370,dataset_final/train\FQ032EC.jpg,FQ032EC
371,dataset_final/train\FR192CN.jpg,FR192CN
372,dataset_final/train\FR199739.png,FR199739
373,dataset_final/train\FR400PK.jpg,FR400PK
374,dataset_final/train\FR881CN.jpg,FR881CN
375,dataset_final/train\FR931PX.jpg,FR931PX
376,dataset_final/train\FS028DP.jpg,FS028DP
377,dataset_final/train\FS066SR.jpg,FS066SR
378,dataset_final/train\FS100VH.jpg,FS100VH
379,dataset_final/train\FS153BW.jpg,FS153BW
380,dataset_final/train\FS246WV.jpg,FS246WV
381,dataset_final/train\FS280FV.jpg,FS280FV
382,dataset_final/train\FS319DF.jpg,FS319DF
383,dataset_final/train\FS371VQ.jpg,FS371VQ
384,dataset_final/train\FS827VN.jpg,FS827VN
385,dataset_final/train\FS938HA.jpg,FS938HA
386,dataset_final/train\G0CIAPA.png,G0CIAPA
387,dataset_final/train\G1176.png,G1176
388,dataset_final/train\G1457B.png,G1457B
389,dataset_final/train\G2870D.png,G2870D
390,dataset_final/train\G6620A.png,G6620A
391,dataset_final/train\G666CD.png,G666CD
392,dataset_final/train\G803IA.png,G803IA
393,dataset_final/train\G8360B.png,G8360B
394,dataset_final/train\G86969.png,G86969
395,dataset_final/train\G8772B.png,G8772B
396,dataset_final/train\G98085.png,G98085
397,dataset_final/train\GAJ169.JPG,GAJ169
398,dataset_final/train\GB55CMW.png,GB55CMW
399,dataset_final/train\GBR00F1.png,GBR00F1
400,dataset_final/train\GE1176_1.png,GE1176_1
401,dataset_final/train\GL2321.png,GL2321
402,dataset_final/train\GL80013U.png,GL80013U
403,dataset_final/train\GO6600H.png,GO6600H
404,dataset_final/train\GR69681.png,GR69681
405,dataset_final/train\GS049NP.png,GS049NP
406,dataset_final/train\GXD385.png,GXD385
407,dataset_final/train\HGAA7034.JPG,HGAA7034
408,dataset_final/train\HH07194.PNG,HH07194
409,dataset_final/train\HHRD41.JPG,HHRD41
410,dataset_final/train\HHSE457H.png,HHSE457H
411,dataset_final/train\HKH2245.png,HKH2245
412,dataset_final/train\HKT8466.png,HKT8466
413,dataset_final/train\HROD819.JPG,HROD819
414,dataset_final/train\IF05TAC.png,IF05TAC
415,dataset_final/train\IF09DAA.png,IF09DAA
416,dataset_final/train\IF18YMH.png,IF18YMH
417,dataset_final/train\IF18YMH_1.png,IF18YMH_1
418,dataset_final/train\IF82EVA.png,IF82EVA
419,dataset_final/train\IF99STK.png,IF99STK
420,dataset_final/train\IF99STK_1.png,IF99STK_1
421,dataset_final/train\IHN2783.png,IHN2783
422,dataset_final/train\INA6310.JPG,INA6310
423,dataset_final/train\J444CJW.png,J444CJW
424,dataset_final/train\J68M017.png,J68M017
425,dataset_final/train\JEE09.png,JEE09
426,dataset_final/train\JHJ70D.png,JHJ70D
427,dataset_final/train\JUX703.png,JUX703
428,dataset_final/train\KC636D0.png,KC636D0
429,dataset_final/train\KIS6744.png,KIS6744
430,dataset_final/train\KKA9052.png,KKA9052
431,dataset_final/train\KPPIRAN5.png,KPPIRAN5
432,dataset_final/train\KR336P.png,KR336P
433,dataset_final/train\KR444FT.png,KR444FT
434,dataset_final/train\KRA99913.png,KRA99913
435,dataset_final/train\KSC124.png,KSC124
436,dataset_final/train\KWG107.png,KWG107
437,dataset_final/train\L0JJ1011.png,L0JJ1011
438,dataset_final/train\L121243.png,L121243
439,dataset_final/train\L7855.png,L7855
440,dataset_final/train\LA5079.JPG,LA5079
441,dataset_final/train\LBGM3358.png,LBGM3358
442,dataset_final/train\LBQB61.png,LBQB61
443,dataset_final/train\LE04EVW.png,LE04EVW
444,dataset_final/train\LG9.JPG,LG9
445,dataset_final/train\LJFJ551.png,LJFJ551
446,dataset_final/train\LL2134.png,LL2134
447,dataset_final/train\LM5399.png,LM5399
448,dataset_final/train\M2090WM.png,M2090WM
449,dataset_final/train\M8822E.png,M8822E
450,dataset_final/train\M9852.png,M9852
451,dataset_final/train\MA877AA.png,MA877AA
452,dataset_final/train\MAP7563.JPG,MAP7563
453,dataset_final/train\MAX059.png,MAX059
454,dataset_final/train\MBCL600.JPG,MBCL600
455,dataset_final/train\MBDT781.JPG,MBDT781
456,dataset_final/train\MD484DO.png,MD484DO
457,dataset_final/train\MDLAYK7.png,MDLAYK7
458,dataset_final/train\MDPC1249.png,MDPC1249
459,dataset_final/train\MF01444.png,MF01444
460,dataset_final/train\MG06438.png,MG06438
461,dataset_final/train\MGX1234.JPG,MGX1234
462,dataset_final/train\MM11XYL.png,MM11XYL
463,dataset_final/train\MS5683V.png,MS5683V
464,dataset_final/train\MUO003.png,MUO003
465,dataset_final/train\MVL422.png,MVL422
466,dataset_final/train\N50IFSP_1.png,N50IFSP_1
467,dataset_final/train\NA516BN.png,NA516BN
468,dataset_final/train\NDNH12.png,NDNH12
469,dataset_final/train\NE62697.png,NE62697
470,dataset_final/train\NNI282.png,NNI282
471,dataset_final/train\NRW11.png,NRW11
472,dataset_final/train\NRW45317.JPG,NRW45317
473,dataset_final/train\NTH299.png,NTH299
474,dataset_final/train\NW17700.png,NW17700
475,dataset_final/train\OG883S.png,OG883S
476,dataset_final/train\OS186DN.png,OS186DN
477,dataset_final/train\P01229.png,P01229
478,dataset_final/train\P01995.png,P01995
479,dataset_final/train\P0A3239.png,P0A3239
480,dataset_final/train\PB046BB.png,PB046BB
481,dataset_final/train\PEK2023.png,PEK2023
482,dataset_final/train\PELN212.JPG,PELN212
483,dataset_final/train\PEM2363.png,PEM2363
484,dataset_final/train\PFME707.png,PFME707
485,dataset_final/train\PG589G.JPG,PG589G
486,dataset_final/train\PP33556.png,PP33556
487,dataset_final/train\PP52889.png,PP52889
488,dataset_final/train\PR24246.png,PR24246
489,dataset_final/train\PUS142KP.png,PUS142KP
490,dataset_final/train\QAAN006.png,QAAN006
491,dataset_final/train\QBY384.png,QBY384
492,dataset_final/train\QCE908.png,QCE908
493,dataset_final/train\QJ9905.png,QJ9905
494,dataset_final/train\QLGX125.JPG,QLGX125
495,dataset_final/train\RA5366.png,RA5366
496,dataset_final/train\RI475KM.png,RI475KM
497,dataset_final/train\RK131F.png,RK131F
498,dataset_final/train\ROWCQ66.png,ROWCQ66
499,dataset_final/train\RSK806.png,RSK806
500,dataset_final/train\RUDCN890.JPG,RUDCN890
501,dataset_final/train\S051701.png,S051701
502,dataset_final/train\S0A1468.png,S0A1468
503,dataset_final/train\SAN4002.png,SAN4002
504,dataset_final/train\SAN9689.png,SAN9689
505,dataset_final/train\SAP4686.png,SAP4686
506,dataset_final/train\SB014882.png,SB014882
507,dataset_final/train\SB501CT.png,SB501CT
508,dataset_final/train\SB90TZI.png,SB90TZI
509,dataset_final/train\SB90TZI_1.png,SB90TZI_1
510,dataset_final/train\SBE880.png,SBE880
511,dataset_final/train\SCS635.png,SCS635
512,dataset_final/train\SE8517BW.png,SE8517BW
513,dataset_final/train\SEJ2011.png,SEJ2011
514,dataset_final/train\SG1579.png,SG1579
515,dataset_final/train\SG59711.png,SG59711
516,dataset_final/train\SGE6783.png,SGE6783
517,dataset_final/train\SGO2508.png,SGO2508
518,dataset_final/train\SH36423.png,SH36423
519,dataset_final/train\SH36423_1.png,SH36423_1
520,dataset_final/train\SHB6665.png,SHB6665
521,dataset_final/train\SJJ1621.png,SJJ1621
522,dataset_final/train\SLA789.png,SLA789
523,dataset_final/train\SLH8566.png,SLH8566
524,dataset_final/train\SLSC56.JPG,SLSC56
525,dataset_final/train\SMB2062.JPG,SMB2062
526,dataset_final/train\SMB2078.JPG,SMB2078
527,dataset_final/train\SMC1735.JPG,SMC1735
528,dataset_final/train\SNG661.png,SNG661
529,dataset_final/train\SPO7211.JPG,SPO7211
530,dataset_final/train\SR11979.png,SR11979
531,dataset_final/train\SR15395.png,SR15395
532,dataset_final/train\SRG105.png,SRG105
533,dataset_final/train\SRG4104.png,SRG4104
534,dataset_final/train\SUFF170.JPG,SUFF170
535,dataset_final/train\SYK63.png,SYK63
536,dataset_final/train\SZ60653.png,SZ60653
537,dataset_final/train\T399JBH.png,T399JBH
538,dataset_final/train\T399JBH_1.png,T399JBH_1
539,dataset_final/train\T3FWS.png,T3FWS
540,dataset_final/train\TG14106.png,TG14106
541,dataset_final/train\TMD038.png,TMD038
542,dataset_final/train\TR05RBG.png,TR05RBG
543,dataset_final/train\TR05RGB.jpg,TR05RGB
544,dataset_final/train\TR05YPP.png,TR05YPP
545,dataset_final/train\TR05YPP_1.png,TR05YPP_1
546,dataset_final/train\TR95XMI.png,TR95XMI
547,dataset_final/train\TR95XMI_2.png,TR95XMI_2
548,dataset_final/train\TV00007.png,TV00007
549,dataset_final/train\UUP216.png,UUP216
550,dataset_final/train\V5543EJ.png,V5543EJ
551,dataset_final/train\VA6811T.png,VA6811T
552,dataset_final/train\VD454490.png,VD454490
553,dataset_final/train\VD5886Z.png,VD5886Z
554,dataset_final/train\VD861T.png,VD861T
555,dataset_final/train\VD961408.png,VD961408
556,dataset_final/train\VEL923.png,VEL923
557,dataset_final/train\VH13609.png,VH13609
558,dataset_final/train\VJ8593.png,VJ8593
559,dataset_final/train\VK266CJ.png,VK266CJ
560,dataset_final/train\VN05SAK.png,VN05SAK
561,dataset_final/train\VS236891.png,VS236891
